date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:02:50	89500/89500	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Mar%202022%2023:10:20%20GMT	https://spruko.com/demo/sash/sash/assets/js/jquery.min.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/js/jquery.min.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:50	26361/26361	---M--	200	added ('OK')	application/javascript	date:Fri,%2012%20Nov%202021%2019:26:56%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/bootstrap/js/popper.min.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/bootstrap/js/popper.min.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:51	111621/111621	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Jul%202022%2021:31:06%20GMT	https://spruko.com/demo/sash/sash/assets/css/skin-modes.css	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/css/skin-modes.css	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:51	59219/59219	---M--	200	added ('OK')	application/javascript	date:Sun,%2010%20Oct%202021%2002:14:24%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/bootstrap/js/bootstrap.min.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/bootstrap/js/bootstrap.min.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:51	43149/43149	---M--	200	added ('OK')	application/javascript	date:Wed,%2013%20Jun%202018%2001:36:50%20GMT	https://spruko.com/demo/sash/sash/assets/js/jquery.sparkline.min.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/js/jquery.sparkline.min.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:51	1374/1374	---M--	200	added ('OK')	application/javascript	date:Tue,%2008%20Mar%202022%2018:55:48%20GMT	https://spruko.com/demo/sash/sash/assets/js/sticky.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/js/sticky.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:51	5607/5607	---M--	200	added ('OK')	application/javascript	date:Fri,%2004%20Mar%202022%2017:12:06%20GMT	https://spruko.com/demo/sash/sash/assets/js/circle-progress.min.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/js/circle-progress.min.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:52	3657/3657	---M--	200	added ('OK')	application/javascript	date:Tue,%2003%20Apr%202018%2012:01:30%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/peitychart/jquery.peity.min.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/peitychart/jquery.peity.min.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:52	2170/2170	---M--	200	added ('OK')	application/javascript	date:Wed,%2031%20Oct%202018%2016:30:42%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/peitychart/peitychart.init.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/peitychart/peitychart.init.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:52	4157/4157	---M--	200	added ('OK')	application/javascript	date:Tue,%2012%20Oct%202021%2017:03:44%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/sidebar/sidebar.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/sidebar/sidebar.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:53	38623/38623	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Mar%202022%2017:24:26%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/p-scroll/perfect-scrollbar.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/p-scroll/perfect-scrollbar.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:54	744/744	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Mar%202022%2021:00:10%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/p-scroll/pscroll.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/p-scroll/pscroll.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:54	185/185	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20Oct%202021%2018:01:56%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/p-scroll/pscroll-1.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/p-scroll/pscroll-1.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:55	3867/3867	---M--	200	added ('OK')	application/javascript	date:Thu,%2008%20Jul%202021%2020:16:52%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/chart/rounded-barchart.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/chart/rounded-barchart.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:55	2794/2794	---M--	200	added ('OK')	application/javascript	date:Wed,%2014%20Jul%202021%2018:44:40%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/chart/utils.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/chart/utils.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:55	294061/294061	---M--	200	added ('OK')	application/javascript	date:Wed,%2014%20Jul%202021%2018:43:40%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/chart/Chart.bundle.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/chart/Chart.bundle.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:56	86549/86549	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Jul%202021%2015:33:52%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/datatable/js/jquery.dataTables.min.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/datatable/js/jquery.dataTables.min.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:57	7288/7288	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jan%202022%2016:13:46%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/datatable/js/dataTables.bootstrap5.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/datatable/js/dataTables.bootstrap5.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:57	16849/16849	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Jun%202021%2017:39:46%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/datatable/dataTables.responsive.min.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/datatable/dataTables.responsive.min.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:58	47084/47084	---M--	200	added ('OK')	application/javascript	date:Mon,%2012%20Jul%202021%2022:15:42%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/apexchart/irregular-data-series.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/apexchart/irregular-data-series.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:59	1075514/1075514	---M--	200	added ('OK')	application/javascript	date:Fri,%2004%20Mar%202022%2019:07:36%20GMT	https://spruko.com/demo/sash/sash/assets/js/apexcharts.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/js/apexcharts.js	(from https://spruko.com/demo/sash/sash/html/index.html)
21:03:00	5257/5257	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20Mar%202022%2017:08:48%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/flot/jquery.flot.fillbetween.js	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/flot/jquery.flot.fillbetween.js	(from https://spruko.com/demo/sash/sash/html/index.html)
